,BugID,CommitDate,Summary
0,ARROW-10003,Collect,[C++] Create directories in CopyFiles when copying within the same filesystem
1,ARROW-10008,Collect,[Python] pyarrow.parquet.read_table fails with predicate pushdown on categorical data with use_legacy_dataset=False
2,ARROW-10012,Collect,[C++] Sporadic failures in CopyFiles test
3,ARROW-10013,Collect,[C++][CI] Flight test failure in TestFlightClient.GenericOptions
4,ARROW-10017,Collect,[Java] LargeMemoryUtil.checkedCastToInt has buggy logic
5,ARROW-10022,Collect,[C++] [Compute] core dumped on some scalar-arithmetic-benchmark
6,ARROW-10027,Collect,[Python] Incorrect null column returned when using a dataset filter expression.
7,ARROW-1003,Collect,[C++] Hdfs and java dlls fail to load when built for Windows with MSVC
8,ARROW-10038,Collect,[C++] SetCpuThreadPoolCapacity(1) spins up nCPUs threads
9,ARROW-1004,Collect,"ArrowInvalid: Invalid: Python object of type float is not None and is not a string, bool, or date object"
10,ARROW-10056,Collect,[C++] Increase flatbuffers max_tables parameter in order to read wide tables
11,ARROW-10073,Collect,[Python] Test test_parquet_nested_storage relies on dict item ordering
12,ARROW-10080,Collect,[R] Arrow does not release unused memory
13,ARROW-10085,Collect,[C++] S3 tests fail on AppVeyor
14,ARROW-10114,Collect,[R] Segfault in to_dataframe_parallel with deeply nested structs
15,ARROW-10119,Collect,[C++] Fix Parquet crashes on invalid input (OSS-Fuzz)
16,ARROW-10121,Collect,[C++][Python] Variable dictionaries do not survive roundtrip to IPC stream
17,ARROW-10122,Collect,[Python] Selecting one column of multi-index results in a duplicated value column.
18,ARROW-10124,Collect,[R] Write functions don t follow umask setting
19,ARROW-10125,Collect,[R] Int64 downcast check doesn t consider all chunks
20,ARROW-10130,Collect,"[C++][Dataset] ParquetFileFragment::SplitByRowGroup does not preserve ""complete_metadata"" status"
21,ARROW-10137,Collect,[R] Fix cpp helper that breaks if libarrow is not present
22,ARROW-10140,Collect,[Python][C++] Add test for map column of a parquet file created from pyarrow and pandas
23,ARROW-10145,Collect,[C++][Dataset] Assert integer overflow in partitioning falls back to string
24,ARROW-10146,Collect,[Python] Parquet metadata to_dict raises attribute error
25,ARROW-10147,Collect,[Python] Constructing pandas metadata fails if an Index name is not JSON-serializable by default
